11.8	103.9	1	-3.2	37.3	10109	0	0	0	0	0	0	0	0	0
11.8	103.9	0.9	-3.2	37.3	10109	154	15858	-4050	38	-14	-4	223	-209	2
11.8	104	0.9	-3.2	37.3	10109	293	15964	-4070	33	22	-10	223	-208	2
11.7	104	0.9	-3.2	37.3	10109	183	15911	-4029	29	44	-11	223	-208	3
11.6	104	0.9	-3.2	37.3	10109	119	16002	-4045	18	51	0	224	-209	3
11.5	104	0.9	-3.2	37.3	10109	127	15875	-3953	37	47	-1	224	-208	3
11.4	103.9	0.9	-3.2	37.3	10109	84	15970	-3974	-17	25	-7	223	-207	4
11.4	103.9	0.8	-3.2	37.3	10109	224	15766	-3920	-19	-26	-12	224	-209	8
11.8	103.8	0.7	-3.2	37.3	10109	82	15906	-4065	-1	-176	-16	224	-208	3
12.5	103.7	0.5	-3.2	37.3	10109	216	15852	-4006	-49	-374	-41	224	-208	2
13.1	103.5	0.3	-3.2	37.3	10109	353	16035	-3783	-59	-330	-36	226	-207	-2
13.7	103.6	0	-3.1	37.3	10109	-47	16148	-3966	69	-315	-57	225	-207	-3
13.5	103.5	0	-3.1	37.3	10109	657	16261	-4294	-103	54	-84	227	-208	-6
12.8	103.3	0	-3.1	37.3	10109	243	15474	-3906	-104	306	-129	226	-206	-4
12.1	103.2	-0.1	-3.1	37.3	10109	-182	16046	-3858	-42	336	-158	226	-205	-3
11.7	103	-0.3	-3.1	37.3	10109	-460	16146	-3641	-76	167	-87	227	-204	0
11.5	102.9	-0.4	-3.1	37.3	10109	-347	15804	-3790	-20	64	-60	227	-204	0
11.5	102.8	-0.5	-3.1	37.3	10109	-456	16088	-3814	-50	-8	-3	227	-205	0
12	102.5	-0.6	-3.1	37.3	10109	-462	15991	-3641	-95	-257	1	228	-204	-2
12.6	102.3	-0.9	-3.1	37.3	10109	-187	15814	-3410	-63	-329	-48	229	-203	-4
12.9	102.2	-0.9	-3.1	37.3	10109	-112	16137	-3719	-56	-188	-32	228	-204	-6
12.6	101.9	-0.8	-3.1	37.3	10109	-139	16258	-3393	-141	141	35	229	-204	-6
12	101.5	-0.6	-3.1	37.3	10109	-440	16178	-3228	-164	310	16	228	-205	-6
11.1	101	-0.6	-3.1	37.3	10109	-409	15980	-3069	-220	420	-65	227	-205	-4
10.3	100.8	-0.6	-3.1	37.3	10109	-119	16473	-3236	-90	406	-40	227	-204	-2
9.9	100.7	-0.7	-3.1	37.3	10109	-946	15807	-3081	-34	176	-17	227	-204	-1
10.1	100.9	-0.7	-3.1	37.3	10109	-598	16050	-3356	87	-107	29	226	-203	0
10.5	101	-0.5	-3.1	37.3	10109	-174	16432	-2901	68	-225	107	226	-202	-2
10.5	100.6	-0.3	-3.1	37.3	10109	762	16475	-3350	-182	19	60	225	-204	-2
10.1	100.2	-0.2	-3.1	37.3	10109	-189	15853	-2926	-189	209	16	225	-205	-2
10.1	99.7	-0.2	-3.1	37.3	10109	-504	16250	-2932	-218	-21	31	225	-205	-3
10.6	99.5	-0.1	-3.1	37.3	10109	-66	16172	-2974	-108	-281	57	225	-206	-5
11	99.5	0.1	-3.1	37.3	10109	712	15975	-2942	-7	-187	70	224	-206	-6
10.9	99.6	0.4	-3.2	37.3	10109	833	15957	-2764	48	15	69	224	-207	-8
10.6	99.6	0.7	-3.2	37.3	10109	335	16231	-2909	9	193	74	223	-207	-7
10.5	99.5	0.8	-3.2	37.3	10109	319	15953	-2988	-28	16	45	223	-208	-5
10.9	99.4	0.8	-3.2	37.3	10109	453	16061	-3124	-92	-185	5	223	-208	-7
11.1	99.1	0.6	-3.2	37.3	10109	-2	16053	-2792	-178	-193	-71	223	-207	-9
10.8	98.8	0	-3.3	37.3	10109	-324	16347	-2744	-162	166	-209	224	-207	-10
10.8	98.7	-0.9	-3.3	37.3	10109	-2437	16340	-3306	-127	-40	-287	224	-205	-9
11.6	98.7	-1.8	-3.3	37.3	10109	-1636	16181	-3967	-85	-506	-261	225	-205	-12
11.9	98.7	-2.6	-3.3	37.3	10109	-1641	14560	-3221	-155	-189	-251	227	-201	-16
